voiceActor,movie,character
Bill Thompson,Sleeping Beauty,King Hubert
Leonard Nimoy,Atlantis: The Lost Empire,King Kashekim Nedakh
Lennie Weinrib,Bedknobs and Broomsticks,King Leonidas
Louis Prima,The Jungle Book,King Louie
Peter Ustinov,Robin Hood,King Richard
Travis Willingham,Sofia the First,King Roland II
Taylor Holmes,Sleeping Beauty,King Stefan
Kenneth Mars,The Little Mermaid,King Triton
Sean Elmore,Chicken Little,Kirby
R. J. Williams,TaleSpin,Kit Cloudkicker
James Apaumut Fall,Pocahontas,Kocoum
Jeremy Suarez,Brother Bear,Koda
Ryan O'Donohue,The Lion King II: Simba's Pride,Kovu
Douglas Seale,The Rescuers Down Under,Krebbs
Jonathan Groff,Frozen,Kristoff
Samuel E. Wright,Dinosaur,Kron
Patrick Warburton,The Emperor's New Groove,Kronk Pepikrankenitz
David Spade,The Emperor's New Groove,Kuzco
Carole Shelley,Hercules,Lachesis
Barbara Luddy,Lady and the Tramp,Lady
April Winchell,The Hunchback of Notre Dame II,Lady DeBurne
Carole Shelley,Robin Hood,Lady Kluck
Shani Wallis,The Great Mouse Detective,Lady Mouse
Eleanor Audley,Cinderella,Lady Tremaine
George Lindsey,The Aristocats,Lafayette the Basset Hound
Frankie Darro,Pinocchio,Lampwick
Marshall Efron,Home on the Range,Larry the Duck
Terry McGovern,DuckTales,Launchpad McQuack
Mary Wickes,The Hunchback of Notre Dame,Laverne
Peter Bartlett,The Princess and the Frog,Lawrence the Valet
Jesse Corti,Beauty and the Beast,Le Fou
Nathan Greno,Meet the Robinsons,Lefty
Rob Paulsen,Belle's Magical World,Le Plufme
Jordan Fry,Meet the Robinsons,Lewis
B.D. Wong,Mulan,Li Shang
Andrew Lawrence,The Porker's Court,Lil Bad Wolf
Daveigh Chase,Lilo & Stitch,Lilo Pelekai
Gedde Watanabe,Mulan,Ling
Jack Angel,Darkwing Duck,Liquidator !The Liquidator
Phil Harris,Robin Hood,Little John
Ed O'Neill,Wreck-It Ralph,Mr. Litwak
Tracey Miller-Zarneke,Meet the Robinsons,Lizzy
Lauren Mote,Tinker Bell and the Great Fairy Rescue,Lizzy Griffths
Clarence Nash,Donald's Nephews,Louie
Frank Welker,Oliver & Company,Louie the Hot Dog Man
